,4-4,4-4-4,4-4-4-4,5-5,5-5-5,5-5-5-5,6-6,6-6-6,6-6-6-6
count,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00
mean,22.14,21.86,25.15,6.99,50.58,50.58,3.07,2.13,7.09
std,24.47,24.64,23.85,15.58,0.00,0.00,1.04,0.64,16.39
min,2.73,2.68,2.67,1.34,50.58,50.58,1.74,1.63,1.47
25%,2.77,2.72,2.72,1.60,50.58,50.58,2.18,1.73,1.70
50%,4.05,2.89,19.99,2.13,50.58,50.58,2.95,1.84,1.82
75%,50.56,50.47,50.15,2.81,50.58,50.58,3.70,2.10,2.11
max,50.59,50.52,50.48,51.31,50.58,50.58,4.84,3.48,53.73
